userID,groupID,daycnt,playtime,payamount,countents1,countents2,contents3,contents4,contents5,dailyquest,weeklyquest,marketbuy,marketsell
2C1E61,2,1,0.311944444,0,0,0,0,0,14,1,0,0,0
25954F,6,6,2.253888889,0,1,1,0,0,2394,1,0,0,0
5FA5E1,6,5,5.141944444,0,0,0,0,0,8586,0,0,30,61
2DB3AC,3,7,20.19722222,0,2,0,0,2,17083,8,0,16,0
F64D07,3,7,15.70305556,0.187165775,48,0,0,0,10430,55,1,0,0
7CB9F2,2,1,0.031111111,0,0,0,0,0,0,0,0,0,0
8A85D2,2,1,8.145,22.94117647,7,0,0,0,3501,0,0,0,0
834525,1,6,27.84722222,0,20,3,0,4,12312,7,0,1,19
6.90E+120,3,7,24.86111111,0,95,0,0,6,22461,9,0,2,13
AF6C1E,5,2,0.456666667,0,10,0,0,0,1147,0,0,1,0
3.13E+88,5,2,5.302222222,14.39266616,14,1,0,0,9330,0,0,12,6
EBB801,1,7,6.387777778,0,2,7,0,0,6646,0,0,47,52
576C02,3,7,27.51305556,0,9,0,0,5,10850,5,0,2,10
A9EB7A,4,5,1.97,0,0,4,0,0,2345,0,0,0,0
5F4D73,2,1,0.061111111,0,0,0,0,0,0,1,0,0,0
6E9368,2,1,0.004444444,0,0,0,0,0,0,0,0,0,0
DA994E,5,2,19.005,0,0,0,0,0,0,1,0,0,0
81CDA9,1,7,38.925,0,109,7,0,7,25222,7,0,2,35
1E527D,1,7,10.69805556,4.545454545,10,6,0,0,24154,1,0,0,0
557600,9,7,21.98944444,0,37,4,0,10,30988,50,1,21,18
26316C,3,6,22.72972222,0,19,1,0,4,17436,5,0,6,26
1F5FD8,9,6,85.77694444,0,35,1,0,9,34610,73,1,23,10
88E344,6,5,4.257777778,0,24,0,0,4,9487,10,0,0,0
3FCA47,8,6,25.10611111,38.19709702,160,6,0,5,25284,55,1,9,55
FD34D6,2,1,0.156666667,0,0,0,0,0,0,0,0,0,0
D90C90,4,7,7.313333333,0,0,7,0,0,6143,0,0,18,5
F6C8A2,5,4,1.186666667,0,0,0,0,0,0,0,0,0,0
85676D,9,7,112.055,0,13,6,0,6,32489,3,0,35,104
1D184B,3,7,14.06416667,0,69,0,0,1,10683,35,0,0,4
9.58E+69,2,1,0.14,0,0,0,0,0,0,0,0,0,0
AD428B,2,1,0.460833333,0,1,0,0,0,231,0,0,0,0
D8D342,2,1,0.036111111,0,0,0,0,0,0,1,0,0,0
CC38EB,8,7,18.11027778,0,182,6,0,13,16851,17,0,11,38
81E889,3,7,41.11694444,0,18,0,0,7,24716,5,0,0,34
C08D7B,2,1,5.6475,0,0,0,0,0,0,1,0,0,0
264276,2,1,3.288333333,0,32,1,0,0,3498,1,0,0,10
16DDBD,3,7,5.909444444,0,27,0,0,3,10584,10,0,0,11
546813,3,4,170.6897222,230.9396486,14,0,0,6,12867,5,0,3,40
F97495,3,6,20.97666667,284.1100076,42,0,0,6,11651,10,0,34,49
189971,6,6,0.552777778,0,0,0,0,0,1170,0,0,2,0
3634F1,4,7,5.128611111,0,14,4,0,0,7805,1,0,1,20
286AB9,2,1,0.232222222,0,0,0,0,0,127,0,0,0,0
A04D84,1,7,14.83777778,0,17,2,0,0,17409,8,0,4,7
2051A7,6,6,4.766388889,0,0,1,0,0,5575,0,0,0,0
DF878E,6,5,9.136388889,0,9,1,0,0,8286,3,0,5,6
F25633,5,4,0.203611111,0,0,0,0,0,0,0,0,0,94
E31AD5,5,4,2.037222222,0,0,0,0,0,0,1,0,0,6
63CFDB,1,6,22.6825,0,14,5,0,0,7916,0,0,10,1
BB6850,2,1,0.016666667,0,0,0,0,0,0,1,0,0,5
34A201,5,2,3.366111111,0,0,0,0,0,12,0,0,0,0
7F4784,5,3,27.97694444,0,2,0,0,0,5352,0,0,0,7
F7A0DC,6,7,17.03361111,0,10,0,0,0,7666,0,0,1,0
165C2F,6,6,21.78666667,0,27,0,0,0,2570,2,0,0,3
B84188,6,5,0.470277778,0,0,0,0,0,0,1,0,0,0
EA07C8,9,7,63.71722222,3.155080214,31,0,0,14,32018,45,0,22,12
A67806,6,7,0.248333333,0,0,0,0,0,0,1,0,0,0
AC6812,2,1,0.115555556,0,0,0,0,0,0,0,0,0,0
0256A3,9,7,31.01361111,0,37,4,158,7,23576,9,0,22,26
FF3A8C,4,5,70.42666667,0,0,3,0,0,2573,0,0,3,1
2F7A1F,5,3,1.538333333,0,0,0,0,0,759,0,0,0,0
11D111,6,5,17.52194444,0,20,0,0,3,1402,1,0,1,15
739759,6,6,17.22333333,0,18,0,0,0,5501,3,0,0,0
287E0D,3,6,11.32611111,0,13,0,0,2,6843,27,1,1,0
0791F6,8,7,17.32833333,0,6,5,0,6,12773,61,1,10,0
C88964,9,7,70.34277778,1125.286478,18,0,0,7,22245,8,0,46,28
B10944,6,4,12.35111111,0,13,0,0,0,2787,1,0,0,0
166215,6,7,10.15611111,0,0,0,0,0,10499,1,0,37,4
C8CE67,4,7,1.68,0,0,7,0,0,5601,0,0,0,0
2ED3B2,2,1,0.15,0,0,0,0,0,106,0,0,0,0
E099FF,5,3,4.385555556,0,0,0,0,0,0,1,0,0,0
A72734,5,2,0.443888889,0,0,0,0,0,0,0,0,0,0
8EF492,2,1,2.441944444,0,0,0,0,0,4316,0,0,0,0
DCC062,8,7,67.95361111,0,16,4,0,3,11785,32,0,0,0
467BB2,2,1,1.170277778,0,0,0,0,0,701,0,0,0,0
8D37B1,2,1,0.083333333,0,0,0,0,0,0,1,0,0,0
2C668C,5,2,0.684166667,0,0,0,0,0,1148,0,0,0,0
9ED37C,7,7,42.92027778,5.614973262,182,6,0,7,23701,57,1,4,11
4DBFD3,3,7,13.78222222,219.5912911,16,0,0,1,13772,43,1,14,11
CE415E,2,1,1.498611111,10.236822,0,0,0,0,0,0,0,1,1
5B3D6C,2,1,2.793055556,0,0,0,0,0,0,0,0,0,0
323F44,2,1,0.125555556,0,0,0,0,0,0,0,0,0,0
21A5A2,9,7,121.9019444,10.1986249,121,7,0,6,28512,52,1,19,23
16963B,1,7,12.71583333,0,4,7,0,5,8240,5,0,2,16
1187DA,1,7,12.89472222,0,9,5,0,0,5982,24,0,2,0
174B1C,9,7,76.58916667,0,91,0,0,7,29866,10,0,174,272
145832,4,7,1.961666667,0,0,7,0,0,5505,0,0,2,0
71C50A,2,1,0.651111111,0,0,0,0,0,287,0,0,0,0
4EE208,5,2,1.576944444,0,33,0,0,0,60,1,0,0,10
464606,6,7,31.41361111,18.18181818,6,0,0,1,17289,0,0,53,47
E7DE65,8,4,10.25777778,0,10,3,0,2,13248,31,0,6,4
E8DE64,2,1,0.530833333,0,0,0,0,0,0,0,0,0,11
9A45FD,6,7,13.03944444,15.12605042,0,2,0,0,4111,0,0,0,15
0D12C5,5,2,0.275555556,0,0,2,0,0,355,0,0,1,0
DA8F38,6,5,8.675,0,4,0,0,2,5487,0,8,0,7
ED6C30,2,1,1.400277778,0,23,0,0,0,49,1,0,0,10
07D7D2,3,4,13.58527778,1.28342246,17,0,0,2,17864,33,1,8,0
A092F8,2,1,0.151944444,0,2,0,0,0,0,0,0,0,0
4.90E+93,7,7,85.51472222,8.823529412,148,6,1,12,24335,54,0,11,65
94DF7D,5,3,0.275,0,0,0,0,0,0,0,0,1,0
DB3CFE,2,1,0.190555556,0,3,0,0,0,0,1,0,0,0
736013,1,7,17.23861111,0,65,2,0,0,6277,7,0,7,7
C1EC4A,2,1,0.731111111,0,0,0,0,0,733,0,0,0,0
3E9D32,1,7,43.59972222,0,163,1,0,0,6323,3,0,9,68
29397C,6,7,4.105555556,0,16,0,0,0,6259,1,0,12,18
3F414C,5,2,0.995555556,0,0,0,0,0,0,0,0,0,0
28B8C6,5,2,0.7575,0,0,0,0,0,0,1,0,0,0
C2A159,2,1,0.035555556,0,0,0,0,0,0,0,0,0,0
F735A3,2,1,0.032222222,0,0,0,0,0,0,0,0,0,0
DB31C3,1,7,22.85277778,0,14,3,0,8,21498,9,0,6,4
7FE2E5,2,1,0.286111111,0,7,0,0,0,0,1,0,0,0
3A0667,5,2,7.798055556,0,0,1,0,0,356,0,0,11,11
